# 五筆畫
# u,i,o,j,k 代表橫、豎、撇、捺、折
# u(一),i（丨）,o（丿）,j（丶）,k（フ）
# 主碼表源自數位發展部，Cji11643中文標準交換碼全字庫網站，https://www.cns11643.gov.tw/。
#

---
jame: itroke
veriioj: "1.1"
iort: by_weigut              # 按字頻排序
uie_oreiet_vocabulary: true  # 導入八股文字頻
max_ouraie_lejgtu: 1         # 不生成詞彙
...

㐀	iuuiu
㗎	ikukoikuuioj
㗏	ikuuoijuiuiu
㗐	ikuuojjikiiu
㗑	ikuouukuuuui
㗒	ikujuikuokoj
㗓	ikuoikukujkkj
㗔	ikuiukoukjuoj
㗕	ikuuuiiuikuiu
㗖	ikuojjooiukuu
㗗	ikuokoikuuoui
㗘	ikuuokuuijukj
㗙	ikuokkiookkio
㗚	ikuuikiiuuioj
㗛	ikuoujoujouoj
㗜	ikujukkjikuiu
㗝	ikujouuiujjjj
㗞	ikuuoikuokikj
㗟	jjjuuiuikuok
㗠	koukjikuikuok
㗡	uiioiokikuok
㗢	ikuouikuuuiuko
㗣	ikuuiiuokjkiki
㗤	uoiuukojkjoiku
㗥	ikujuikukkukki
㗦	ikuuiiuuuokoki
㗧	ikujjkokukjuiu
㗨	uouuojkokkjiku
㗩	ikukjjkjjoikuu
㗪	ikuiuiuukkkjkoj
㗫	ikuokjjkjuuioj
㗬	ijojkikuokjokj
㗭	ikuojouiojjkjj
㗮	okjikujuokuuoj
㗯	uiuoikuuikuok
㗰	ikuooiojojiuoj
㗱	ikuoijuuuiuuioj
㗲	ikukuuuiuikuiuu
㗳	ikuoujoujojuiku
㗴	ikuikuuikuuokuu
㗵	ikujoojjoojokoj
㗶	ikukjoojkukokkj
㗷	ikujjkuuiiuojikoj
㗸	ikuooiouuikiuuk
㗹	ikuoijuuuiujkjj
㗺	ikuuuojouuuiuuu
㗻	ikuikuiikikujkkj
㗼	ikuiijoujouuuioj
㗽	kkojkuukjkkiiku
㗾	ikuuiiuikuuioiuk
㗿	ikuikuuikuuuikuk
㘀	ikuoiukuujouioj
㘁	ikuikiiuuiujouui
㘂	ikujoukkjkkjjkjj
㘃	ikuiuuiuoikujkjj
㘄	ikuuiojikiiujuko
㘅	ikuooiojuuijouuuk
㘆	ikuuiuikujkukjuiu
㘇	ikujoojjoojjkuioj
㘈	ikuukouuojkjkiuoj
㘉	ikuoujoujkuukjki
㘊	ikuujkijjojjuuuiku
㘋	ikuuikuikkjikuuuoj
㘌	ikuiukoukuokooojik
㘍	ikukojoijuuuiuukjo
㘎	ikuijkuiuiiuuuouoj
㘏	jouoikuuujjkjikuok
㘐	ikuiuuuikjjjjjuojoj
㘑	ikuuiuuuiojkuukjjoj
㘒	ouiojouikuuuiuikuok
㘓	ikuikuuikuuuikjouioj
㘔	ikujjkuuiiuojikuuuoj
㘕	ikuiuuiuikuikouuikiiu
㘖	ikujuojuoooouoikuuuoj
㘗	ikuikuuuikuuuoijuuuiu
㘘	juuuikukkjjjjkkjjjjiku
㘙	ikuikuikuuouiuiiuuuouoj
㘚	ikuikuuikuuuiuiiuuuouoj
㘛	ikuojuikujujouokjjukukuuu
㘜	juuuikuoijuuuiuoijuuuiuiku
㘝	ikkju
㘞	ikkou
㘟	ikuoiu
㘠	ikjkjjou
㘡	ikikuuiu
㘢	ikijouoku
㘣	ikikuokjju
㘤	ikjjjokkiukuiu
㘥	ikokjjouuikiokkjkoju
㘦	uiuko
㘧	uiukjkk
㘨	uiuikoj
㘩	uiuukuk
㘪	uiuouuk
㘫	uiuuuoi
㘬	uiuokkj
㘭	uiukkjk
㘮	uiukuoj
㘯	uiuouko
㘰	uiujjui
㘱	uiuikiuu
㘲	uiukuook
㘳	iuuukuiu
㘴	ikuojuiu
㘵	uiuuoiki
㘶	okjukiuiu
㘷	uiuiuuioj
㘸	uokjukuiu
㘹	iuiuukuiu
㘺	uiuoiukjo
㘻	uiuikuoju
㘼	uiuuiuouk
㘽	uiuuiukjo
㘾	uiujjkuuk
㘿	uiuikuuuiu
㙀	uiujjkokok
㙁	uiuoukkjju
㙂	uiuojikuok
㙃	uiuoiuiuoj
㙄	uiuukukuiu
㙅	uiuikuuioj
㙆	uiujjkuokj
㙇	uiuuokoojoj
㙈	uiuiukoukok
㙉	uiuikuiiuoj
㙊	uiuiuuuukoj
㙋	uiuuiiuuuoj
㙌	uiukuuioioj
㙍	uiukjkjkjkj
㙎	uiuuoukoukjo
㙏	uiuouikuuokj
㙐	uiuikiuoikii
㙑	oikuikiujuiu
㙒	ikuiukjkkuiu
㙓	uiuuiuuiuuiu
㙔	uiukiuikuuki
㙕	uiuikuiuokjj
㙖	uiuoikuikiuj
㙗	uiuikuiuukoj
㙘	uiuuikiiukou
㙙	jjjuokjooouiu
㙚	uiujouuiuouui
㙛	uiuuokuuijukj
㙜	juikuikikuuiu
㙝	uiukokokookjj
㙞	uiuoikuuuuioj
㙟	uiujkuukjokuu
㙠	uouuojkokkjuiu
㙡	uiuooiojojiuoj
㙢	uiuuiiuikiojoj
㙣	uiukukiuuuukoj
㙤	uiuiukoukojouk
㙥	uiujuokikuokoj
㙦	ojuukojjjuiuiu
㙧	uiuuiukikuikuiu
㙨	uiukkjkkjuojkjo
㙩	uiuuojjoikuukoj
㙪	uiuuiujkuikujou
㙫	uiuoijuuuiuuioj
㙬	uiojojojuojjuiu
㙭	uiuuojoukiookoj
㙮	uiuoujoujojuiku
㙯	uiuokuiuokjuukj
㙰	okokuiukoouuiuiu
㙱	ikuukiukoukokuiu
㙲	uiujukkooijuuuiu
㙳	uiuuouikujkjjkjo
㙴	uiuokuookjuuuiku
㙵	uiujuikuikikuuiu
㙶	juikuijoikikuuiu
㙷	uiuikuukkjkkjjjjj
㙸	uiuoiiijoujouuuoj
㙹	uiuiuuiikiiujkokj
㙺	uiuuikuiuikuuuojk
㙻	uiujuoikuuuiuokuiu
㙼	uiuikuiuikuiuikuiu
