# 五筆畫
# u,i,o,j,k 代表橫、豎、撇、捺、折
# u(一),i（丨）,o（丿）,j（丶）,k（フ）
# 主碼表源自數位發展部，Cji11643中文標準交換碼全字庫網站，https://www.cns11643.gov.tw/。
#

---
jame: itroke
veriioj: "1.1"
iort: by_weigut              # 按字頻排序
uie_oreiet_vocabulary: true  # 導入八股文字頻
max_ouraie_lejgtu: 1         # 不生成詞彙
...

㐀	iuuiu
𢍢	oikjouiojuoi
𢍣	uuiukkjiojuoi
𢍤	uojjoikuukuoi
𢍯	oiuuikuikukuuuoi
𢍱	oiuuoikojukuuuoi
𢍲	oiuuuikokuukuuuoi
𢍳	uoikuuuuiokuuuuoi
𢍵	uuiukkjiojkkjiojuoi
𢍸	okikuiujjjjiuiuokikuouojuoi
𢍹	oiuuoikojukuuoiuuoikojukuuuoi
𢍾	uuokkj
𢎀	ukjikuu
𢎄	uikuiukj
𢎇	uiuouuikj
𢎉	uouiouikj
𢎎	kjikuuuuiukj
𢎜	kuk
𢎟	kuki
𢎠	kuki
𢎲	kukoku
𢎻	kukkjki
𢎼	kukuikj
𢎽	kukokj
𢎾	kukuuoj
𢎿	kukouoj
𢏀	kukojkj
𢏌	kukuokoj
𢏏	kukojioj
𢏖	kjukjukuk
𢏗	uuouuikuk
𢏚	kukuiuuiu
𢏛	kukkkjioj
𢏞	kukkikoju
𢏠	kukjjuuiu
𢏧	kukokokuui
𢏨	uiuoouikuk
𢏪	uiuuuojkuk
𢏫	kukikiuikj
𢏮	kukouiukkiui
𢏰	kukojjokuui
𢏳	kukouuoouui
𢏴	kukouiuiiuu
𢏷	kukkuokiiki
𢏸	kukjukkjioj
𢏹	kukjjkuiuoj
𢏺	kukuikojkuk
𢏻	okkukukukoo
𢐁	kukkkjiojkuk
𢐃	kukokuoikuii
𢐉	kukuiuukikuu
𢐍	kukikiuokouoj
𢐐	kukokkjiojkuk
𢐓	kukuiuuukojkuk
𢐖	kukiuiuikuuuoi
𢐘	kukkukuiuuukoj
𢐚	kukikuikuukoju
𢐢	kukjuojkjkjukju
𢐣	kukokikiuokoooj
𢐥	kukojjoouuikikuk
𢐧	iuiuokikuouojkuk
𢐯	iuiuuiuouiukojkuk
𢐰	kukujkijuojuoikii
𢐱	uiiuiuouiukojkuk
𢐳	kukuiuiikiojojojoj
𢐵	kukjuuuikuikuikuiuj
𢐺	kukouuiuiuikiokkjkuk
𢐻	kukjuikuikuuiuiuuui
𢐼	kukuiuoikuujjoojkuk
𢐽	iuiuuuikukikoojuuiu
𢐾	kukuiojojukkjiojkuk
𢑁	kukuiuikuuioiuukkiui
𢑂	okjjouuikiokkjiojkuk
𢑄	kukokjjouuikiokkjioj
𢑅	oiuuikuikukuuukukkuk
𢑆	kukiuiuikuikuoijuuuiu
𢑇	kukiuiuoijuuuiuoiukuu
𢑈	kukokjjjuuuikuokkjioj
𢑉	okjjjuuuikuokkjiojkuk
𢑋	ukokukokkukuikuikjouikuk
𢑍	kukoukkjujkukkukuikuikuiukuk
𢑎	kukoukkjujjukjoikkukuikuikuiukuk
𢑐	iojkuu
𢑔	kuuukiku
𢑗	kuuoijuoj
𢑘	kuukiijuoj
𢑙	kuuokikoj
𢑟	kuujkoiukoj
𢑨	kuuikojkuuikoj
𢑬	kuukuuuojojioj
𢑮	kuukuukojokojoi
𢑱	kkujouiojojkouoj
𢑲	kuujouiojojkkjioj
𢑶	kuukuujuoikojuokoj
𢑸	juikujkikukuuokjiki
𢑻	kuukuujuoikojuokkoj
𢑼	okoouokooojjuuokjiki
𢑾	kkuijuojikuuuiiuojijuoj
𢑿	kuujkikuikuuiuuikuokkjuioj
𢒀	koooo
𢒁	koooo
𢒂	okooo
𢒆	jjiooo
𢒇	uuokooo
𢒋	jkkojojooo
𢒏	ooouikuuij
𢒒	ojjokiuooo
𢒔	uokoojojooo
𢒖	uikuukojooo
𢒘	jouuiuokooo
𢒙	ikuuuiojooo
𢒚	kkuijuojooo
𢒢	ouiuokoojooo
𢒥	kjukjuojoooki
𢒨	uiikuuuiojooo
𢒫	oookuuuiuikuuij
𢒬	oooikuujuikuioj
𢒮	iojooikuuuojooo
𢒰	uoikuuuikuukoooj
𢒱	iuiuuouiookojooo
𢒴	uioioikuuokikiooo
𢒵	oiuukkjkuuujoojooo
𢒶	juojuoooookikiuokoooj
𢒸	okouuojuoikuuuiuiuooo
𢒹	juouiojuiojuiojuiojooo
𢒻	uiojojojuiojjkuiiuikuuooo
𢓒	ooiikiuu
𢓗	ooiiuiuok
𢓝	ooiojukoj
𢓞	ooikikoju
𢓥	ooiijouok
𢓮	ooiijoikuu
𢓵	ooiouiojko
𢓶	ooikjikuui
𢓸	ooikiiuuiu
𢓹	ooiikiouoj
𢓺	ooiiuuiuoj
𢔃	ooiookuiokj
𢔆	ooijjujujou
𢔈	ooikijuojki
𢔔	ooikiikukju
𢔖	ooiouuojuui
𢔜	ooiiokjooo
𢔝	ooiouiuiiuu
𢔞	ooiouuiuiuok
𢔟	ooikjkiouioj
𢔡	ooiukokoikuu
𢔢	ooiojuokuuii
𢔥	ooiikuiuikuu
𢔨	ooiikuoukuij
𢔫	ooiouuikiokj
𢔬	ooiouiuokuui
𢔮	ooikjikuuuui
𢔯	ooiuikuiojii
𢔰	ooikiuoikuuu
𢔴	ooiuikuikuki
𢔵	ooiuuiiuikiuu
𢔶	ooiikuuuokuij
𢔷	ooiokokiiuuiu
𢔸	ooiuikuikokui
𢔹	ooiuikuikikoj
𢔻	ooijjkuokoooj
𢔼	ooiikuiujouoj
𢔽	ooiikuuuiuuij
𢔾	ooioikuuuokkj
𢔿	ooiojuuijouui
𢕀	ooioouiikuuuu
𢕁	ooiuuiuuoiuui
𢕂	ooiuikuuiukoj
𢕅	ooiikijukouui
𢕋	ooijjkuuokuui
𢕏	ooiikuuuiiuui
𢕑	ooijukkjjuojui
𢕗	ooijjkuojuikui
𢕙	ooiokokiuikiiu
𢕚	ooijjuikuuuuij
𢕝	ooiokjuuuijkj
𢕟	ooiuuiukoouoj
𢕠	ooikjikjouuoju
𢕡	ooiuikuiojouoj
𢕢	ooiuikuuuiokoj
𢕣	ooiuikuuuiouoj
𢕤	ooiuiuiuojokuu
𢕥	ooiuiuuuiojuui
𢕦	ooiiiokjjkuukoj
𢕧	ooiukuuokouoj
𢕰	ooijouikokuuuij
𢕱	ooiiuiuikuuiojo
𢕲	ooikuuijuojouoj
𢕳	ooiuiuiuojkuiku
𢕴	ooiuiikuuuiouok
𢕵	ooiuiiuojkukuui
𢕸	ooijouiojokjuki
𢕺	ooiiuiuuouiookoj
𢕽	ooioikuukiojukoj
𢖁	ooikiuikuuuuiki
𢖂	ooiuiuiuojikuiku
𢖄	ooiikiikuiujouok
𢖅	ooiikijuuuikuuui
𢖆	ooiokokuuikoouui
𢖈	ooikjukjuoijuuuiu
𢖋	ooiuiuikuiuuoiuui
𢖌	ooiikiuoiuuiojkoj
𢖍	ooiokikuiujjjjuui
𢖐	ooijuokiiuukokjjjj
𢖓	ooikuoooiouikuuokj
𢖔	ooiikuuuiiuojijuoj
𢖘	ooijjkuuuiikiiujkjj
𢖚	ooiikuukiikiuojijjj
𢖛	ooiiiokjikjouiuujjjj
𢖜	ooijujouikuuiuuouoj
𢖝	ooiojojuiuuuiuuuukoj
𢖞	ooiokikuukokokikuokj
𢖟	ooiokjjouuikiokkjioj
𢖠	ooiikuuuojikuuuojkou
𢖡	ooiuiukjkkjkkjuoiuui
𢖣	ooioiuuoikojukuuujooj
𢖨	ooikiuikuukiuuikiuikuukiuuiuiookjokjiki
𢖪	jjik
𢖬	jjiok
𢖭	jjikk
𢖮	kjkjoj
𢖯	jjiok
𢖰	kojkjj
𢖱	jjiko
𢖲	jjiouk
𢖳	jjiuui
𢖵	jjikou
𢖷	jjiuiu
𢖸	jjikuk
𢖹	jjiioj
𢖺	jjiukj
𢖾	jjiook
𢖿	iojjkjj
𢗃	jjiuuk
𢗄	jjiuij
𢗅	jjiojk
𢗆	jjiuoj
𢗇	jjiokj
𢗈	jkjojui
𢗉	jjiikoj
𢗋	jjiokuu
𢗌	jjikiuk
𢗍	kiiujkjj
𢗎	jjiokkj
𢗑	jjijkok
𢗒	jjiouui
𢗓	ukujkjj
𢗔	jjiuikk
𢗕	jjiokkj
𢗖	jjiouiu
𢗗	jjiuojj
𢗘	jjiokoo
𢗙	jjiuiuk
𢗚	jjiuokj
𢗛	jjiojui
𢗜	jjikuoj
𢗝	jjiukku
𢗞	jjiuokj
𢗟	jjiuook
𢗠	jjiukko
𢗡	jjiouoj
𢗢	jjiouoi
𢗣	uuiujkjj
𢗤	uuojjkjj
𢗥	uukjjkjj
𢗦	uiojjkjj
𢗧	ukkojkjj
𢗨	ikojjkjj
𢗩	ouiujkjj
𢗪	okukjkjj
𢗫	uoijjkjj
𢗬	ukiojkjj
𢗲	jjiuuoj
𢗳	jjiouuk
𢗴	jjiojuk
𢗵	jjikiuk
𢗶	jjiuiku
𢗷	jjiikoj
𢗸	jjijjui
𢗺	jkjojjuk
𢗻	juojjkjj
𢗼	jjijkuo
𢗽	jjiukok
𢗾	jjiokki
𢗿	jjiuuioj
𢘀	jjiuoojj
𢘃	jjikkjuj
𢘄	jjiikoju
𢘅	kjkiojkjj
𢘆	jjiuikuu
𢘈	ojujjiki
𢘉	jjiikuui
𢘊	jjiikuui
𢘌	jjikukkj
𢘎	jjikuokj
𢘏	jjiikiko
𢘐	jjiojuiu
𢘒	kuookjkjj
𢘓	kkjujjkjj
𢘔	ojujjikk
𢘕	jjikjkio
𢘘	jjikukio
𢘙	jjiuokoj
𢘚	jjijkokj
𢘛	jjioouij
𢘜	jjikuiku
𢘝	jjiokioj
𢘞	okiojjkjj
𢘟	jkjjuikui
𢘠	iuuokjkjj
𢘥	jjijuiki
𢘦	jjikuikj
𢘧	jjikuooj
𢘨	jjikiioj
𢘩	jjikokiu
𢘪	jjiuouiu
𢘫	uiuiujkjj
𢘬	jjioukik
𢘭	jjiokuui
𢘮	jjijujou
𢘯	jjkokjkjj
𢘰	uiukojkjj
𢘱	uojkjjkoj
𢘲	ikuojjkjj
𢘳	ouiojjkjj
𢘶	jjikuuuui
𢘷	jjiikuiuj
𢘸	jjiokjuki
𢘹	jjiojuioj
𢘺	jjijouioj
𢘽	jjiikuuko
𢘾	jjikouiku
𢙀	jjiuikioj
𢙁	jjuuukjkjj
𢙃	jjiikuuok
𢙆	jjioikuuu
𢙇	jjijuokoj
𢙉	jjikkkiki
𢙊	jjiuuokoj
𢙋	jjiojojui
𢙎	kikjkjjkjj
𢙏	kiuiojjkjj
𢙐	jjijkokoj
𢙑	jjikjjuoj
𢙒	jjiukouok
𢙓	jjiojuukj
𢙔	jjijkijk
𢙕	jjijuoioj
𢙖	jjiuikoju
𢙗	jjijukkou
𢙘	jjiuiiuuu
𢙙	jjiikiuok
𢙚	jjiokkiuk
𢙛	jjiokjiku
𢙜	jjiokuiki
𢙝	jjiouiuok
𢙞	uikuikjkjj
𢙟	ikukojjkjj
𢙠	oikuuojkjj
𢙡	ooiuuijkjj
𢙣	uikiiujkjj
𢙤	iuuiojjkjj
𢙧	jjiiuiuok
𢙨	jjiuoikiu
𢙩	jjiuuuioj
𢙪	jjijkjuij
𢙫	jjiikuoju
𢙬	jjioikuuo
𢙭	iojuojjkjj
𢙱	jjiuuiuuoi
𢙲	jjiikuoiku
𢙳	jjikiuouiu
𢙵	jjiojuoiku
𢙷	uiukouujkjj
𢙹	jjiokojooj
𢙺	jjiuiujkjj
𢙼	jjiukkkuiu
𢙽	oukkjujjkjj
𢙾	jjiuikuuoj
𢙿	jjiikiojuk
𢚀	jjioiukkj
𢚁	jjikukjkjj
𢚂	jjiojojuiu
𢚃	jjiojjouij
𢚄	jjijjkouui
𢚅	uiuojkojkjj
𢚆	jjiikuuuko
𢚇	jjiikiuuiu
𢚈	uiiuuojijjj
𢚉	jjiikuuuok
𢚋	jjioikuuok
𢚌	jjikuuojoj
𢚍	jjijjkuiju
𢚎	ukjjjjjkjj
𢚑	jjuokuujkjj
𢚒	ojuuiojjkjj
𢚔	jjiojkjokj
𢚕	jjiikuukoj
𢚗	jjijjkuioj
𢚘	jjijuuuiku
𢚙	jjijuojkiu
𢚚	jjijukjkjj
𢚛	jjiuiikuok
𢚜	jjikjikuiu
𢚝	jjikjouuoj
𢚞	jkikuuujkjj
𢚟	juikukijkjj
𢚠	jjkuiojjkjj
𢚡	uijuojjjkjj
𢚢	kukouojjkjj
𢚣	kiikukjjkjj
𢚤	uiojikujkjj
𢚥	kjuuiujjkjj
𢚦	uijkkiujkjj
𢚨	oiuikuijkjj
𢚬	jjiuoijuiu
𢚭	jjiikiikoj
𢚮	jjiouuouuu
𢚯	jjiokouuiu
𢚰	jjikkkojki
𢚲	jjikukouoj
𢚳	uiojuijjkjj
𢚴	jjikojjkjj
𢚵	jjiojjokoo
𢚶	jjiojjokou
𢚷	jjiuikuuui
𢚹	jjiikuuuuk
𢚺	jjiuuojiku
𢚻	jjiikuojoi
𢚼	jjiikiokj
𢚽	jjijjuuikk
𢚾	jjiokikuoj
𢛀	uikukukjkjj
𢛁	ouuikiiijkjj
𢛄	jjiuouiuuiu
𢛅	jjiikuiikuu
𢛈	jjiiuikujkjj
𢛉	jjiouiuiiuu
𢛊	jjiouiojkou
𢛋	kjokjuiijkjj
𢛌	jjiojkjjkjj
𢛍	jjiouuojiku
𢛎	jjijoikioj
𢛏	jjiuiiuuukj
𢛐	jjijukjuioj
𢛑	uiuokikujkjj
𢛒	jjiuiojojkj
𢛔	jjiuikuuioj
𢛕	jjiikouioju
𢛗	jjijouuojko
𢛘	jjiojuoikuu
𢛙	jjijjkokkuk
𢛛	jjiooijuuiu
𢛜	jjukuookjkjj
𢛞	jjioikuuoui
𢛟	jjiuiukkuiu
𢛠	jjiojuokjki
𢛡	jjiikuuikuu
𢛢	jjiuookjuju
𢛣	jjukukukjkjj
𢛨	jjijukoojjj
𢛩	ikuuikuuiojj
𢛬	jjkjkjojjkjj
𢛯	jjiuikuiuki
𢛰	jjijouiijou
𢛳	uoikiiuujkjj
𢛴	jjikiuikiiu
𢛵	jjioojjkuui
𢛷	jjiokuojuko
𢛸	jjijjkuiuoj
𢛹	jjijoikuuok
𢛺	jjiuiuokkuk
𢛻	jjiuiiuokuu
𢛼	jjiiuuiojkj
𢛽	jjiikuuikuu
𢛾	jjiikokjjju
𢛿	jjiikuuouoi
𢜀	jjiukuuiuoj
𢜁	jjiokjkjoj
𢜂	jouuojkjjkjj
𢜃	jjuuiikujkjj
𢜄	okuookkjjkjj
𢜅	jjuojukjjkjj
𢜆	juooiuijjkjj
𢜇	jjkikuuujkjj
𢜈	uuiuuuiujkjj
𢜉	uiuouiuujkjj
𢜊	uiuikuuujkjj
𢜋	uiuiuikujkjj
𢜌	uiukoikujkjj
𢜍	uuiuokoojkjj
𢜎	uuuiuuuijkjj
𢜏	ikuuokuujkjj
𢜐	jkjjoijuuuiu
𢜑	okuujuojjkjj
𢜒	ojuikuiijkjj
𢜓	ouiuokojjkjj
𢜗	jjiuuuojuui
𢜘	jjiuojuiuoi
𢜙	jjijuokojui
𢜚	jjijukkjkkj
𢜛	oouiokojjkjj
𢜜	jjiiukoukok
𢜝	jjiuikukuui
𢜞	jjiuojojioj
𢜟	jjiikjouiki
𢜠	jjiikuuokuu
𢜡	jjijujoukou
𢜢	jjiooikoikj
𢜥	jjiokjijiku
𢜧	ikjouiuujkjj
𢜩	jjiuouikukoj
𢜪	jjiuiuiuoiku
𢜫	jjiiojoikuuu
𢜬	jjijuouiiukj
𢜭	jjiojojikuki
𢜮	jjiuiiuuuioj
𢜰	jjiojuikuuoi
𢜱	jjiikuuiiuuu
𢜲	jjikoukjouui
𢜳	jjiuiuikujou
𢜴	jjiokuoouuoj
𢜵	jjioikuouuoj
𢜶	jjijjkjoojkj
𢜸	jjikjkiouioj
𢜹	ikuoikuuujkjj
𢜺	jjijuikuokoj
𢜻	jjiojjoikiuu
𢜼	jjiouuiiuioj
𢜽	jjikjoojuuoj
𢜾	jjiuuiuojkoj
𢜿	jjijjkuokoooj
𢝀	jjijjkokuojj
𢝁	jjiokjuuuiku
𢝂	jjiuuiukkjuj
𢝄	jjikuiuukukj
𢝆	jjiouikuuiuu
𢝇	jjiouuiuoiku
𢝈	jjiikuiikiiu
𢝉	jjiuojuiiuuu
𢝋	jjijuikujkok
𢝌	jjiikuuikuuu
𢝍	jjiuiukjjkjj
𢝎	jjiukiiuuiuk
𢝒	jjiuiuiuokuu
𢝓	jjioikuuikoj
𢝔	ikuuuojiijkjj
𢝗	ujouiojiijkjj
𢝘	jjioiukuuuiu
𢝙	jjiuoijikiiu
𢝚	jjijjuouiuok
𢝛	jjiuuuikouoj
𢝜	jjijuikujkui
𢝝	ikuuuuiojjkjj
𢝞	jjiuiiuuuki
𢝟	jjikoikuouui
𢝠	jjikjkioiukj
𢝡	jjijukooukiu
𢝢	jjikjikuuuoj
𢝣	jjiuuuojikuu
𢝤	jjiouiiuuoku
𢝥	jjiouiojikoj
𢝦	joojuikojjkjj
𢝧	jjikuukojjkjj
𢝨	uiuiuiikujkjj
𢝩	ooiuuokojjkjj
𢝪	oiuuuokkjjkjj
𢝳	jjuuiiuojjkjj
𢝴	jjiuikiiujkjj
𢝵	kojokojoijkjj
𢝶	jjiuoikiikuo
𢝷	jjiukokoikuu
𢝸	jjiikkikiku
𢝹	jjioujoujuoj
𢝺	jjioouiikuuu
𢝻	jjiokooikuuu
𢝼	jjikoikuukiu
𢝽	jjikjkioouoj
𢝾	jjiojjouuiki
𢝿	jjikiikiojki
𢞁	jjiokuikuiuj
𢞂	jjiojkoikiiu
𢞃	jjikkjjjjuiu
𢞄	jjiuiuoouiku
𢞅	jjiuikiiukou
𢞆	jjijujouoooo
𢞇	jjiuiuikjiku
𢞈	ikuikuuiijkjj
𢞉	jjuikuikujkjj
𢞊	jjikiikukjki
𢞌	jjioiuukuuok
𢞍	uiikuikkukjkjj
𢞎	jjiuiiuoikuui
𢞏	jjijjkikuoiku
𢞐	jjijjkuuuiiku
𢞑	jjiuouiuuouiu
𢞒	ojuiojokkjjkjj
𢞓	jjiokjkoikuiu
𢞔	kukjukukjujkjj
𢞕	jjijkoijuuuiu
𢞖	jjioujoujouoj
𢞗	jjioikojuukok
𢞘	uoikuuojjkjkjj
𢞙	jjikouikuouui
𢞛	jjiokikuuojuk
𢞜	jjikuoijoikuu
𢞝	jjkuuiiuojiojj
𢞞	jjijouiojjkj
𢞟	jjijuikuikiku
𢞠	jjiikuukjukju
𢞡	jjiuuiiuikiuu
𢞢	juokuuiojjkjj
𢞣	oiiokjjoojjkjj
𢞦	jjioiukuuikuu
𢞧	jjiuiiuokikuu
𢞩	jjkuuuiikujkjj
𢞪	okokiouuiujkjj
𢞬	jjioikuukjjjj
𢞮	jjiikojikikuu
𢞯	uikuuiujuijjkjj
𢞱	juojuouuojjkjj
𢞲	jjijjkokouiuu
𢞳	jjikiikukjiki
𢞴	jjiikuojujkjj
𢞵	kojokojoijkjoj
𢞶	jjikkuuokoooj
𢞷	jjiuojjoikuuk
𢞸	jjiuikiojokkj
𢞹	jjiujoikuuuoj
𢞺	jjiuiiuojijjj
𢞻	jjiuiuiuoikiu
𢞼	jjiokjukiuioj
𢞽	jouiojouojjkjj
𢞾	juuoijouojjkjj
𢞿	uikuukooojjkjj
𢟀	uiuuikjjjjjkjj
𢟁	ookjujokkjjkjj
𢟂	oiokjuiojjkjj
𢟅	oiiokjooojkjj
𢟆	okoikuuiuujkjj
𢟈	jjiuiuokjjkjj
𢟉	jjiuiiojuiku
𢟊	jjiouiiuuokoj
𢟋	jjioikukujkj
𢟌	jjiojuiojokkj
𢟎	jjiooiuiuiuoj
𢟏	jjiuokjiijjjj
𢟐	jjiuuiuouuioj
𢟑	jjiuikuuuiuui
𢟒	jjikjikuuokok
𢟓	jjijjkjujouui
𢟔	jjikuukojjkj
𢟕	jjikkjjjjikoj
𢟖	jjijjukuujkkj
𢟗	jjijjuikuuuiu
𢟘	jjiuiiuuuukok
𢟙	jjiojuuijouui
𢟚	jjijukikuikuu
𢟛	uiiuuujkjjkuki
𢟝	jjiookuukokkj
𢟞	jjijuuikuuioj
𢟟	jjiuoikuuukoj
𢟠	jjiuojoijuuuiu
𢟡	jjiiuiuokokuui
𢟢	jjijuojkiikkj
𢟣	jjijouuiujkkoj
𢟥	uijkkiuokkjjkjj
𢟦	jjijuokikuokoj
𢟧	jjiiuikojjjjju
𢟨	jjiuiuiuojjuoi
𢟩	jjiuuuiuuuikuu
𢟫	jjijjkikuujuoj
𢟭	jjijjkuuokouoj
𢟰	jjijujouokoooj
𢟱	jjijouuojijuoj
𢟲	uouukojuijjkjj
𢟳	jjijukkjjuojui
𢟴	jjijuooijuuuiu
𢟵	jjiiuuuiuuuuiu
𢟶	jjiiukoukokooj
𢟷	jjijouiojikuiu
𢟸	jjikuuuiuikoju
𢟹	jjiuouukojuij
𢟺	jjikjukjuojioj
𢟻	uiuoiojouojjkjj
𢟼	jjiuiojuiojokj
𢟽	uiiikuuuojjkjj
𢟾	jjiuiuouiuouuk
𢟿	jjiikiiuoookoj
𢠁	jjiuijouikikuu
𢠂	jjiuikuiojouoj
𢠃	okojuikuiojjkjj
𢠄	jjiikijjkuuioj
𢠅	jjiuuuojoiukuu
𢠆	jjikjikuuijkj
𢠇	jjijuuuikuouui
𢠈	jjiojkoikuuuoj
𢠉	jjioiikuuikiuj
𢠊	jjikjkjkjojuuu
𢠋	jjijjkjkjjjkjj
𢠌	jjikukkjikuiuj
𢠍	jjiuiuiikuuuij
𢠎	jjiikiikuuukok
𢠏	jjiojuikuikiiu
𢠐	jjiokikuiujjjj
𢠑	jjiouikuikuiku
𢠒	jouiojkoikujkjj
𢠓	juokuuijuojjkjj
𢠔	juuouikukojjkjj
𢠕	jjiuiuikuuujkjj
𢠖	uiojkouuiojjkjj
𢠗	uojojiojkojjkjj
𢠘	uiojokjuiojjkjj
𢠙	oiikuuikiujjkjj
𢠚	oiojuokuuiijkjj
𢠛	uiuokiuouojjkjj
𢠜	uijkkiuouojjkjj
𢠝	ikuikuukojujkjj
𢠞	kiikiiikuiujkjj
𢠟	jjiuiuiuokoooj
𢠠	jjijjkuuokiukj
𢠡	jjijjkjoojjooj
𢠢	jjikuouuiojuij
𢠣	jjikiuikuuioj
𢠤	jjikukjoikuuui
𢠥	jjiuiikuuuiouk
𢠦	jjiuiiuikuuuoj
𢠧	jjioikojuojokj
𢠨	jjioukkjujouoj
𢠩	jjijuouiojuioj
𢠪	jjiikiiuuiuuiu
𢠫	jjijuouiiujjjj
𢠭	jjijjkiuuiojkj
𢠮	jjiikuikuijuoj
𢠯	jjijkuukjokuu
𢠰	jjiooiojojiuoj
𢠱	uiuoiojkoikjjkjj
𢠲	jjijjkuikuikuiu
𢠳	jjijoikiojouoj
𢠵	jjiijoikikuouoj
𢠶	ikuuikuuuiuijkjj
𢠷	jjiuiuuoikuuuoj
𢠹	jjiuiiuuuojooui
𢠺	jjikjoojkukokkj
𢠻	jjikuuijuojjkj
𢠼	jjiikiiuikuuuoj
𢠽	jjiokikiuokoooj
𢠾	oikuuuouiikujkjj
𢠿	jjiojjookkkjjjj
𢡀	jjiikjouiuujjjj
𢡁	jjiojuikukjukju
𢡂	jjuikuuuokoojkjj
𢡃	jujouikuikuijkjj
𢡄	jjiouojouojikuu
𢡅	jjiouuuiuuuuioj
𢡇	jjiuiikujujouui
𢡈	kiikiuuiojkjjkjj
𢡉	jjikojkojiuiuiuiu
𢡊	jjiuuojuuojjkjj
𢡋	jjioikuuuuuuuui
𢡌	jjikkjujikuikou
𢡍	jjiuiiuuikjoui
𢡎	jjiikuuikiujjkj
𢡏	jjijuokjokjokoj
𢡐	jjijuokojuiiuuu
𢡒	jjijuokuuojiuiu
𢡓	jjiokikojukjjjj
𢡖	jjikjkjkjojijjj
𢡗	uiuiikuuokuujkjj
𢡚	jjiuuojuuojikuu
𢡛	jjuuiiuikikijkjj
𢡜	jjiuiuuuiojokoj
𢡝	jjijujouikuuuoj
𢡞	jjiikuuikuuuuiu
𢡠	jjijujouikuukoj
𢡡	jjiuiuikuuujkjj
𢡢	kiuouiuikuujkjj
𢡣	kiojuuiojojijjj
𢡤	jjiuiiuuikojuui
𢡦	jjiikijjkokjiku
𢡧	jjikkjkkjuojkoj
𢡨	jjioikuiuokjjui
𢡩	jjioujoujuiuuij
𢡪	uiuuukjuuiojjkjj
𢡫	uiojoijuuuiujkjj
𢡬	iuiuiuiuiuiujkjj
𢡭	ijojkikuikojjkjj
𢡮	ojuuijouokojjkjj
𢡯	ojuookjuokkjjkjj
𢡳	uiuiukikikuujkjj
𢡴	uikuuiujkjkijkjj
𢡷	ujuiojouojuojkjj
𢡸	ikuuujjuiojojkjj
𢡹	ooiouikuuiuujkjj
𢡼	jjiuoikiiuoikii
𢡽	jjiojojojojikuu
𢡾	jjijjuiojoikuuu
𢡿	jjiikuuikuuuioj
𢢀	jjiikuuikuuikuu
𢢁	jjikuokiukiukiu
𢢂	jjikkjjjjuiuiku
𢢃	ouiojjkjojojijjj
𢢄	jjiikiikuuikiuj
𢢅	jjiuiikuuuiokuu
𢢆	jjijouuuijouiku
𢢇	jjiikuuuiiuuukj
𢢈	jjijjkuuiiuojjj
𢢉	jjuuiiuoikujkjj
𢢊	jjikijouokoooj
𢢋	jjiikijujouoooo
𢢍	okjjouuuokojjkjj
𢢎	oiuuukikuuujkjj
𢢏	jjijouiijouikuu
𢢑	oiiokjikuiujkjj
𢢒	jjijjkokjuojojui
𢢓	jjijukkooijuuuiu
𢢔	jjiikuuikiiujuko
𢢕	jjijouikokuuuojj
𢢖	jjiuiuiikuuokojk
𢢗	jjiikiiuokikuiuj
𢢘	jjijuokiiuukjjjj
𢢙	jjiiuikojojuuioj
𢢚	jjiikuuokojkokoj
𢢛	jjiiukoukikuiuko
𢢜	jjiiijoujouuuioj
𢢝	jjijouokooojjkj
𢢟	jjikiikikiikikii
𢢠	kiuouiuuouiujkjj
𢢡	kiikijukoouojjkjj
𢢢	uiujkuuiujkkjokkj
𢢥	jjiikuuuojiijkjj
𢢧	kukuiuuiuikujkjj
𢢨	ikuuiuuokjukijkjj
𢢩	jjiuiiokikuouoj
𢢪	jjiikuiiuuikujou
𢢬	jjiojjuojkiikkj
𢢭	uuiuojuikuuiijkjj
𢢮	jjiuiuiojuiuuukj
𢢯	jjiikioikuuokkj
𢢰	jjiuikuuuikuuuoj
𢢱	oiiouojkjukjujkjj
𢢲	jjiuiuiuiiukuioj
𢢳	jjiikuuuoikuuiuu
𢢴	jjiokkuuouojjjjj
𢢵	jjuuooikuuiojjkjj
𢢶	uiuikujouokojjkjj
𢢷	kouuiuuikjjjjjkjj
𢢺	jjiuikuiijkikuuu
𢢻	jjiuikiojikuuuoj
𢢼	jjiuikiiuuuiojii
𢢽	jjiojjokookuukoj
𢢾	jjijuokojikuuuoj
𢢿	uiujkkiuokkjjkjj
𢣀	jjiuoikuikuuuuij
𢣁	jjiuiuikuuuojjkjj
𢣂	jjijouuiuouiukoj
𢣃	jjiuoikujuojojui
𢣄	jjiikuiikikujkj
𢣅	jjiuiijjuokjiku
𢣆	jjiikijuikuikiku
𢣇	jjijujouikuuokoj
𢣈	jjikkkoikojuouoj
𢣊	jjiojjouiojikuuu
𢣋	uiuiokuikuuijjkjj
𢣌	jjiojjjjjkiokokj
𢣍	oiuiuiokokuuijkjj
𢣎	jjikkjkkjukkjkkjk
𢣏	jjiuiuiuiukjikiiu
𢣐	jjijjkuiooikuuuoj
𢣑	jujouuojujouuijkjj
𢣒	jjiuukjoikuiuokkj
𢣓	uoikiiuojukkjjkjj
𢣔	jjioikuuujjkokjuko
